,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
BCL6,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,-1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
CBFB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0
CEBPB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CEBPD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0
EGR2,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,-1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
ELK1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ETS1,0,0,0,0,1,0,0,-1,0,1,1,0,1,0,1,0,0,1,-1,1,1,1,-1,0,1,1,1,0,1,0,1,0,0,0,0,1,-1,0,1,0,0,1,1,-1,0
FLI1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
FOS,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,-1,0,1,0,0,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1
FOSB,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXA10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,1,1,0,0,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,0
HOXA13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
IRF8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
JUN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,-1,-1,0,0,0
KLF10,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KLF13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LMO2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
MAFB,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,-1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0
MYB,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1
MYEF2,1,0,0,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0
NFATC1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NFATC2,1,1,0,1,1,1,1,-1,0,0,1,1,0,1,0,1,1,1,-1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,-1,1,0,1,-1,1,0,0,1
NFE2L1,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0
NFYA,0,0,0,0,1,0,0,0,-1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
NFYC,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
PPARD,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,1,0,0,0
PPARG,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,-1,0,0,1,1
PRDM1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
RREB1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,-1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
RUNX1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RXRB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
SMAD3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,1,-1,1,-1,0,0,0,0
SMAD4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SNAI1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SNAI3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,-1,0,0,1,0,0,1,1,1,0,1,0,0,-1,1,0,0,1,0,1,1,1,0,0,1,0,1
SP3,1,0,0,-1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
