,time
0-1,0h
0-2,0h
0-3,0h
0-4,0h
0-5,0h
0-6,0h
0-7,0h
0-8,0h
0-9,0h
0-10,0h
0-11,0h
0-12,0h
0-13,0h
0-14,0h
0-15,0h
0-16,0h
0-17,0h
0-18,0h
0-19,0h
0-20,0h
0-21,0h
0-22,0h
0-23,0h
0-24,0h
0-25,0h
0-26,0h
0-27,0h
0-28,0h
0-29,0h
0-30,0h
0-31,0h
0-32,0h
0-33,0h
0-34,0h
0-35,0h
0-36,0h
0-37,0h
0-38,0h
0-39,0h
0-40,0h
0-41,0h
0-42,0h
0-43,0h
0-44,0h
0-45,0h
0-46,0h
0-47,0h
0-48,0h
0-49,0h
0-50,0h
0-51,0h
0-52,0h
0-53,0h
0-54,0h
0-55,0h
0-56,0h
0-57,0h
0-58,0h
0-59,0h
0-60,0h
0-61,0h
0-62,0h
0-63,0h
0-64,0h
0-65,0h
0-66,0h
0-67,0h
0-68,0h
0-69,0h
0-70,0h
0-71,0h
0-72,0h
0-73,0h
0-74,0h
0-75,0h
0-76,0h
0-77,0h
0-78,0h
0-79,0h
0-80,0h
0-81,0h
0-82,0h
0-83,0h
0-84,0h
0-85,0h
0-86,0h
0-87,0h
0-88,0h
0-89,0h
0-90,0h
0-91,0h
0-92,0h
0-93,0h
0-94,0h
0-95,0h
0-96,0h
0-97,0h
0-98,0h
0-99,0h
0-100,0h
0-101,0h
0-102,0h
0-103,0h
0-104,0h
0-105,0h
0-106,0h
0-107,0h
0-108,0h
0-109,0h
0-110,0h
0-111,0h
0-112,0h
0-113,0h
0-114,0h
0-115,0h
0-116,0h
0-117,0h
0-118,0h
0-119,0h
0-120,0h
1-Jan,1h
2-Jan,1h
3-Jan,1h
4-Jan,1h
5-Jan,1h
6-Jan,1h
7-Jan,1h
8-Jan,1h
9-Jan,1h
10-Jan,1h
11-Jan,1h
12-Jan,1h
13-Jan,1h
14-Jan,1h
15-Jan,1h
16-Jan,1h
17-Jan,1h
18-Jan,1h
19-Jan,1h
20-Jan,1h
21-Jan,1h
22-Jan,1h
23-Jan,1h
24-Jan,1h
25-Jan,1h
26-Jan,1h
27-Jan,1h
28-Jan,1h
29-Jan,1h
30-Jan,1h
31-Jan,1h
Jan-32,1h
Jan-33,1h
Jan-34,1h
Jan-35,1h
Jan-36,1h
Jan-37,1h
Jan-38,1h
Jan-39,1h
Jan-40,1h
Jan-41,1h
Jan-42,1h
Jan-43,1h
Jan-44,1h
Jan-45,1h
Jan-46,1h
Jan-47,1h
Jan-48,1h
Jan-49,1h
Jan-50,1h
Jan-51,1h
Jan-52,1h
Jan-53,1h
Jan-54,1h
Jan-55,1h
Jan-56,1h
Jan-57,1h
Jan-58,1h
Jan-59,1h
Jan-60,1h
Jan-61,1h
Jan-62,1h
Jan-63,1h
Jan-64,1h
Jan-65,1h
Jan-66,1h
Jan-67,1h
Jan-68,1h
Jan-69,1h
Jan-70,1h
Jan-71,1h
Jan-72,1h
Jan-73,1h
Jan-74,1h
