,Etv5,Ddit4,Nefl,Nanog,Ifitm1,Sox2,Sall4,Tcf7,Slc7a3,Otx2,Cldn4,Pim1,Pou5f1,Col18a1,Sgce,Tdgf1,Dnmt3b,Sparc,Tfb1m,Id3,Stat3,Nodal,Esrrb,Pim2,1190005I06Rik,Tdh,1700019D03Rik,Schip1,Galk1,Mycn,Fxyd6,Gbx2,Tspan17,Spry4,Ifitm3,Slc7a7,Upp1,Cds1,Nptx2,Sdc4,Fgfbp1,Klf6,Slc2a3,Nr5a2
cell_0,1.0155985,0.3648194,0.0,0.3648194,0.3648194,1.0155985,1.0155985,0.3648194,0.3648194,0.0,0.3648194,0.0,2.684295,0.63154185,0.0,1.6018662,0.0,1.2924021,0.3648194,0.0,0.84189546,0.3648194,1.0155985,0.0,0.3648194,2.0286493,0.63154185,0.0,0.3648194,0.84189546,0.0,1.2924021,0.0,1.2924021,0.0,0.0,1.2924021,0.84189546,0.3648194,0.3648194,0.3648194,0.63154185,1.2924021,0.3648194
cell_1,1.2107824,0.57962555,0.33123347,1.2107824,0.33123347,1.7426075,1.0863456,0.33123347,0.0,0.77843213,0.0,0.57962555,2.2658243,0.94419366,0.0,1.3214343,0.77843213,1.5946996,0.0,0.0,0.0,0.57962555,1.5946996,0.57962555,0.33123347,2.416789,0.0,0.57962555,0.0,0.57962555,0.33123347,0.33123347,0.33123347,0.57962555,0.0,0.0,0.0,0.33123347,0.0,0.94419366,0.33123347,0.77843213,1.5946996,0.57962555
cell_2,0.7475291,0.0,0.7475291,0.31524265,0.31524265,1.6950837,1.2793056,0.31524265,0.0,0.31524265,0.31524265,0.0,2.3984387,1.1704836,0.31524265,1.9878827,0.5545652,1.0483568,0.0,0.0,0.31524265,0.5545652,0.7475291,0.31524265,0.0,2.172753,0.5545652,0.31524265,0.0,1.0483568,0.31524265,0.7475291,0.0,0.5545652,0.5545652,0.0,1.2793056,0.0,0.0,0.5545652,0.0,0.5545652,1.0483568,0.5545652
cell_3,0.9967338,0.0,0.0,0.9967338,1.1876068,1.4858762,1.3478211,0.76062447,0.76062447,0.0,0.45095202,0.45095202,2.470327,0.0,0.0,1.4858762,1.4858762,1.1876068,0.0,0.0,0.0,0.76062447,1.3478211,0.0,0.0,1.9834627,0.76062447,0.0,0.9967338,0.0,0.0,0.0,0.0,0.76062447,0.76062447,0.76062447,0.0,0.0,0.0,0.0,0.45095202,0.0,1.1876068,0.0
cell_4,0.0,0.0,0.8302656,0.0,0.0,1.8206241,0.0,0.0,0.0,0.0,0.0,0.8302656,1.5855107,0.0,0.0,0.8302656,1.2775548,0.8302656,0.0,0.0,0.0,0.0,1.8206241,0.0,0.8302656,1.8206241,0.8302656,0.0,0.0,0.8302656,0.8302656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2775548,1.5855107,0.0
cell_5,0.554996,0.0,0.554996,1.1711817,0.31551635,1.8235066,0.554996,0.31551635,0.74806195,0.31551635,0.74806195,0.74806195,1.6254368,0.0,0.0,1.2800361,1.3781958,1.2800361,0.0,0.0,0.31551635,0.0,1.0490141,0.554996,0.554996,1.9887562,0.31551635,0.31551635,0.554996,0.74806195,0.554996,0.31551635,0.74806195,0.554996,0.0,0.554996,0.0,0.554996,0.31551635,0.9098171,0.554996,0.31551635,1.0490141,0.554996
cell_6,0.7730595,0.4594431,0.4594431,0.0,0.4594431,1.9216058,1.2038033,0.0,0.4594431,0.0,0.0,0.0,2.1496084,0.7730595,0.0,1.0114468,1.0114468,1.3650606,0.0,0.0,1.2038033,0.4594431,1.3650606,0.0,0.4594431,1.2038033,0.4594431,0.0,0.0,0.0,0.4594431,0.0,0.4594431,0.4594431,0.4594431,0.0,0.4594431,0.0,0.4594431,1.6257727,0.0,1.3650606,0.4594431,0.4594431
cell_7,0.5654426,0.22586697,0.0,0.81847703,0.92443883,1.1076616,0.5654426,0.41000003,1.0202407,0.41000003,0.22586697,0.22586697,0.5654426,1.1076616,0.41000003,1.3317057,0.5654426,1.7158427,0.41000003,0.22586697,0.22586697,0.41000003,0.41000003,0.41000003,0.0,0.81847703,0.22586697,0.22586697,0.81847703,0.41000003,0.0,0.22586697,0.22586697,0.41000003,0.5654426,0.81847703,0.41000003,0.5654426,0.22586697,0.6999419,0.22586697,0.22586697,2.0266514,0.5654426
cell_8,1.1235852,0.0,0.0,0.7119351,0.0,1.1235852,0.0,0.0,0.0,0.0,0.0,0.0,2.3361533,0.0,0.7119351,0.7119351,1.1235852,1.1235852,0.0,0.7119351,0.0,0.7119351,0.0,0.7119351,0.0,1.8228794,1.1235852,0.0,0.7119351,0.7119351,0.0,0.0,0.0,0.7119351,0.0,1.1235852,0.0,0.0,0.0,0.7119351,0.0,0.0,0.7119351,1.1235852
cell_9,0.0,0.7666518,0.7666518,0.7666518,0.7666518,1.195465,1.195465,0.7666518,0.7666518,0.0,0.0,0.7666518,3.1310666,0.7666518,0.7666518,1.195465,1.195465,1.195465,0.7666518,0.0,0.7666518,0.0,0.7666518,0.7666518,0.0,1.195465,0.0,0.7666518,0.0,0.7666518,0.0,1.4946197,0.7666518,0.7666518,0.7666518,0.0,1.195465,0.0,1.195465,1.195465,0.0,0.0,1.7245842,0.7666518
