,Etv5,Slc7a7,Col18a1,Upp1,Nanog,Htra1,Tdgf1,Klf4,Sox2,Bbs2,Cds1,Sgce,1190005I06Rik,Sparc,Sdc4,1700019D03Rik,Acot9,Ifitm2,Klf5,Aldh7a1,Esrrb,Dnmt3a,Tfb1m,Spry4,Nptx2,Fgf4,Akap12,Pigl,Sqle,Basp1,Cidea,Klf2,Tspan17,Cdca7,Dnmt3b,Fgfbp1,Ifitm3,Otx2,Tcf7,Asrgl1,Cth,Tcl1,F2rl1,Cldn4,Rbm14,Fpgs,Klf9,Mycn,Rtel1,Slc2a3,Msrb2,Stat3,Ifitm1,Pim2,Schip1,Tdh,Nodal,Fgf15,Ddit4,Morc1,Socs3,Rest,Phc1,Hexa,Galk1,Rcor2,Car13,Pim1,Bad,Klf6,Nr5a2,Fxyd6,Id3,Stoml1,Slc7a3,Egfl6,Spry2,Zfp64,Sall4,Rab12,Thumpd3,Gbx2,Pou5f1,Nes,Lefty2,Zfp7,Pla2g10,Trp53,Zap70,Gldc,Kcnk1,Stra8,Myc,Cdc42ep4,Nefl,B3gnt7
cell_0,1.0155985,0.0,0.63154185,1.2924021,0.3648194,0.63154185,1.6018662,0.63154185,1.0155985,0.63154185,0.84189546,0.0,0.3648194,1.2924021,0.3648194,0.63154185,0.3648194,0.3648194,1.6018662,0.63154185,1.0155985,0.3648194,0.3648194,1.2924021,0.3648194,1.0155985,0.63154185,0.3648194,0.84189546,1.2924021,0.3648194,1.1635474,0.0,1.4065324,0.0,0.3648194,0.0,0.0,0.3648194,0.0,0.3648194,0.0,1.0155985,0.3648194,0.84189546,0.63154185,0.63154185,0.84189546,0.3648194,1.2924021,0.3648194,0.84189546,0.3648194,0.0,0.0,2.0286493,0.3648194,0.0,0.3648194,0.0,0.63154185,0.0,0.63154185,0.3648194,0.3648194,0.84189546,0.3648194,0.0,0.3648194,0.63154185,0.3648194,0.0,0.0,0.3648194,0.3648194,0.0,1.0155985,0.63154185,1.0155985,0.0,0.84189546,1.2924021,2.684295,0.0,0.3648194,0.3648194,0.63154185,0.0,0.0,0.0,0.84189546,0.0,0.63154185,0.0,0.0,0.3648194
cell_1,1.2107824,0.0,0.94419366,0.0,1.2107824,0.33123347,1.3214343,0.77843213,1.7426075,0.57962555,0.33123347,0.0,0.33123347,1.5946996,0.94419366,0.0,0.57962555,0.94419366,1.3214343,0.33123347,1.5946996,0.77843213,0.0,0.57962555,0.0,0.77843213,1.0863456,0.0,0.77843213,0.33123347,0.0,0.33123347,0.33123347,0.57962555,0.77843213,0.33123347,0.0,0.77843213,0.33123347,0.57962555,0.77843213,0.33123347,0.33123347,0.0,0.0,0.0,0.94419366,0.57962555,0.0,1.5946996,0.0,0.0,0.33123347,0.57962555,0.57962555,2.416789,0.57962555,0.0,0.57962555,0.0,0.94419366,0.33123347,0.33123347,0.0,0.0,0.0,0.57962555,0.57962555,0.57962555,0.77843213,0.57962555,0.33123347,0.0,0.33123347,0.0,0.0,0.94419366,0.57962555,1.0863456,0.33123347,0.77843213,0.33123347,2.2658243,0.57962555,0.0,0.0,0.57962555,0.77843213,0.33123347,0.77843213,0.57962555,0.33123347,0.77843213,0.0,0.33123347,0.77843213
cell_2,0.7475291,0.0,1.1704836,1.2793056,0.31524265,0.31524265,1.9878827,0.9092127,1.6950837,0.0,0.0,0.31524265,0.0,1.0483568,0.5545652,0.5545652,0.31524265,1.1704836,0.7475291,0.31524265,0.7475291,0.7475291,0.0,0.5545652,0.0,0.7475291,0.7475291,0.31524265,0.31524265,0.31524265,0.31524265,1.1704836,0.0,1.0483568,0.5545652,0.0,0.5545652,0.31524265,0.31524265,0.5545652,0.0,0.7475291,0.9092127,0.31524265,0.5545652,0.5545652,0.9092127,1.0483568,0.5545652,1.0483568,0.31524265,0.31524265,0.31524265,0.31524265,0.31524265,2.172753,0.5545652,0.0,0.0,0.5545652,0.9092127,0.9092127,1.2793056,0.0,0.0,0.9092127,0.0,0.0,0.31524265,0.5545652,0.5545652,0.31524265,0.0,0.0,0.0,0.31524265,0.31524265,0.0,1.2793056,0.31524265,0.31524265,0.7475291,2.3984387,0.31524265,0.31524265,0.31524265,0.31524265,1.0483568,0.0,0.5545652,0.31524265,0.31524265,1.0483568,0.0,0.7475291,1.1704836
cell_3,0.9967338,0.76062447,0.0,0.0,0.9967338,0.0,1.4858762,0.9967338,1.4858762,0.45095202,0.0,0.0,0.0,1.1876068,0.0,0.76062447,0.0,0.9967338,0.0,0.0,1.3478211,1.1876068,0.0,0.76062447,0.0,0.76062447,1.3478211,0.0,0.45095202,0.45095202,0.0,0.76062447,0.0,0.76062447,1.4858762,0.45095202,0.76062447,0.0,0.76062447,0.0,0.9967338,0.45095202,0.45095202,0.45095202,0.0,1.1876068,0.0,0.0,0.0,1.1876068,0.0,0.0,1.1876068,0.0,0.0,1.9834627,0.76062447,0.0,0.0,0.45095202,0.76062447,0.9967338,1.4858762,0.0,0.9967338,0.45095202,0.45095202,0.45095202,0.0,0.0,0.0,0.0,0.0,0.45095202,0.76062447,0.45095202,0.45095202,0.0,1.3478211,0.45095202,0.76062447,0.0,2.470327,0.45095202,0.45095202,0.0,0.76062447,0.76062447,0.0,0.0,0.0,0.0,1.1876068,0.45095202,0.0,0.0
cell_4,0.0,0.0,0.0,0.0,0.0,0.8302656,0.8302656,0.8302656,1.8206241,0.8302656,0.0,0.0,0.8302656,0.8302656,0.0,0.8302656,0.0,0.8302656,1.2775548,0.8302656,1.8206241,0.0,0.0,0.0,0.0,1.5855107,0.8302656,0.0,0.8302656,0.0,0.0,1.2775548,0.0,0.8302656,1.2775548,0.0,0.0,0.0,0.0,0.0,0.8302656,0.0,0.0,0.0,0.8302656,0.0,0.8302656,0.8302656,0.0,1.5855107,0.0,0.0,0.0,0.0,0.0,1.8206241,0.0,0.8302656,0.0,0.8302656,1.8206241,0.0,0.8302656,1.8206241,0.0,1.2775548,0.0,0.8302656,0.8302656,1.2775548,0.0,0.8302656,0.0,0.8302656,0.0,0.0,0.0,1.2775548,0.0,0.0,0.8302656,0.0,1.5855107,0.0,0.8302656,0.0,0.8302656,0.0,0.0,0.8302656,0.0,0.0,1.2775548,1.2775548,0.8302656,0.8302656
cell_5,0.554996,0.554996,0.0,0.0,1.1711817,0.9098171,1.2800361,0.9098171,1.8235066,0.31551635,0.554996,0.0,0.554996,1.2800361,0.9098171,0.31551635,0.554996,0.554996,1.69591,0.554996,1.0490141,0.74806195,0.0,0.554996,0.31551635,0.74806195,1.3781958,0.0,0.554996,0.554996,0.0,0.74806195,0.74806195,0.9098171,1.3781958,0.554996,0.0,0.31551635,0.31551635,0.0,1.0490141,0.0,0.74806195,0.74806195,0.31551635,1.2800361,1.1711817,0.74806195,1.1711817,1.0490141,0.0,0.31551635,0.31551635,0.554996,0.31551635,1.9887562,0.0,0.0,0.0,0.74806195,0.31551635,0.31551635,0.74806195,0.0,0.554996,1.2800361,0.554996,0.74806195,0.31551635,0.31551635,0.554996,0.554996,0.0,0.0,0.74806195,0.0,0.0,0.0,0.554996,0.31551635,0.0,0.31551635,1.6254368,0.554996,0.31551635,0.554996,0.31551635,0.9098171,0.554996,0.31551635,0.31551635,0.0,0.31551635,0.31551635,0.554996,0.9098171
cell_6,0.7730595,0.0,0.7730595,0.4594431,0.0,0.4594431,1.0114468,0.4594431,1.9216058,0.0,0.0,0.0,0.4594431,1.3650606,1.6257727,0.4594431,1.0114468,0.7730595,1.0114468,0.0,1.3650606,1.3650606,0.0,0.4594431,0.4594431,0.4594431,1.0114468,0.0,0.4594431,0.0,0.0,1.2038033,0.4594431,0.4594431,1.0114468,0.0,0.4594431,0.0,0.0,0.0,0.7730595,0.4594431,0.0,0.0,0.0,1.2038033,1.0114468,0.0,1.0114468,0.4594431,0.0,1.2038033,0.4594431,0.0,0.0,1.2038033,0.4594431,0.0,0.4594431,0.7730595,1.7344016,0.0,1.7344016,0.0,0.0,0.0,0.0,0.0,1.0114468,1.3650606,0.4594431,0.4594431,0.0,0.0,0.4594431,0.4594431,0.0,0.0,1.2038033,0.0,0.4594431,0.0,2.1496084,0.7730595,0.0,0.4594431,0.0,0.0,0.0,0.4594431,0.4594431,0.4594431,0.7730595,0.0,0.4594431,0.7730595
cell_7,0.5654426,0.81847703,1.1076616,0.41000003,0.81847703,1.6202873,1.3317057,1.1880507,1.1076616,0.22586697,0.5654426,0.41000003,0.0,1.7158427,0.6999419,0.22586697,0.22586697,0.81847703,1.0202407,0.6999419,0.41000003,1.1076616,0.41000003,0.41000003,0.22586697,1.1076616,1.1880507,0.5654426,0.22586697,0.81847703,0.0,0.6999419,0.22586697,0.22586697,0.5654426,0.22586697,0.5654426,0.41000003,0.41000003,0.0,0.41000003,0.41000003,0.92443883,0.22586697,0.22586697,0.22586697,0.41000003,0.41000003,0.22586697,2.0266514,0.41000003,0.22586697,0.92443883,0.41000003,0.22586697,0.81847703,0.41000003,0.0,0.22586697,0.5654426,0.22586697,0.41000003,0.92443883,0.41000003,0.81847703,0.0,0.81847703,0.22586697,0.22586697,0.22586697,0.5654426,0.0,0.22586697,0.6999419,1.0202407,0.22586697,0.81847703,0.0,0.5654426,0.81847703,0.41000003,0.22586697,0.5654426,0.81847703,0.5654426,0.0,0.41000003,0.6999419,0.41000003,1.2624556,0.22586697,0.22586697,0.41000003,0.41000003,0.0,1.514627
cell_8,1.1235852,1.1235852,0.0,0.0,0.7119351,0.0,0.7119351,1.1235852,1.1235852,0.7119351,0.0,0.7119351,0.0,1.1235852,0.7119351,1.1235852,0.0,0.0,1.4143455,0.0,0.0,1.1235852,0.0,0.7119351,0.0,0.0,1.1235852,0.0,0.0,0.0,0.0,0.0,0.0,0.7119351,1.1235852,0.0,0.0,0.0,0.0,0.7119351,0.0,0.0,0.0,0.0,0.7119351,0.0,0.7119351,0.7119351,0.0,0.7119351,0.0,0.0,0.0,0.7119351,0.0,1.8228794,0.7119351,0.0,0.0,0.0,0.7119351,0.7119351,0.0,0.0,0.7119351,0.7119351,1.1235852,0.0,0.0,0.0,1.1235852,0.0,0.7119351,0.0,0.0,0.0,0.7119351,1.4143455,0.0,0.0,0.0,0.0,2.3361533,0.7119351,0.0,0.7119351,0.0,0.0,0.7119351,0.0,0.7119351,0.0,0.0,0.7119351,0.0,0.0
cell_9,0.0,0.0,0.7666518,1.195465,0.7666518,0.0,1.195465,0.0,1.195465,0.7666518,0.0,0.7666518,0.0,1.195465,1.195465,0.0,0.0,0.7666518,1.7245842,1.195465,0.7666518,0.7666518,0.7666518,0.7666518,1.195465,0.7666518,0.0,0.7666518,0.7666518,0.0,0.0,0.0,0.7666518,1.4946197,1.195465,0.0,0.7666518,0.0,0.7666518,0.7666518,0.7666518,0.7666518,0.0,0.0,0.7666518,1.195465,0.0,0.7666518,0.7666518,1.7245842,0.0,0.7666518,0.7666518,0.7666518,0.7666518,1.195465,0.0,0.0,0.7666518,0.0,0.7666518,0.7666518,1.4946197,0.0,0.0,0.7666518,0.0,0.7666518,1.195465,0.0,0.7666518,0.0,0.0,0.0,0.7666518,0.7666518,0.0,0.0,1.195465,0.7666518,0.0,1.4946197,3.1310666,1.195465,0.0,0.0,0.0,0.0,1.195465,0.0,0.0,0.0,0.0,0.0,0.7666518,0.0
